Ingredient,PHE(mg),Protein(g),Energy(kcal),Serving_Size(g)
Soy Sauce,56.0,1.3,8.0,16.0
Soy sauce,0.0,0.0,0.0,100.0
Soy-Free Sauce,0.0,0.0,0.0,100.0
Soy-free sauce,0.0,0.0,0.0,100.0
Spaghetti,33.0,0.6,21.0,19.0
Spaghetti (low-protein if possible),0.0,0.0,0.0,100.0
Spanish,26.0,0.5,26.0,30.0
Special K,31.0,0.7,14.0,4.0
Spices (Rasam Powder),0.0,0.0,0.0,100.0
Spinach,0.0,0.0,0.0,100.0
Spinach, fresh or frozen, cooked,16.0,0.4,2.0,12.0
Spinach, raw, chopped,18.0,0.4,3.0,14.0
Spring Onions,70.0,1.8,32.0,100.0
Spring garden vegetables,30.0,0.9,21.0,60.0
Spring onions,0.0,0.0,0.0,100.0
Squash,15.0,0.4,17.0,50.0
Squash spaghetti, cooked,12.0,0.3,15.0,51.0
Squash, summer, all varieties, cooked,15.0,0.4,9.0,45.0
Squash, summer, all varieties, raw,14.0,0.4,7.0,33.0
Star anise,0.0,0.0,0.0,100.0
Steamed Idli,0.0,0.0,0.0,100.0
Steamed carrots,0.0,0.0,0.0,100.0
Steamed cauliflower,0.0,0.0,0.0,100.0
Steamed idli,15.0,1.5,100.0,100.0
Strawberries,0.0,0.0,0.0,100.0
Strawberries, sliced, frozen, sweetened,13.0,0.5,82.0,85.0
Strawberries, sliced, raw,13.0,0.5,23.0,74.0
Strawberry fruit bars,31.0,0.6,49.0,12.0
Strawberry fruit pie filling,5.0,0.2,34.0,31.0
Sugar,0.0,0.0,0.0,100.0
Sugar (table),0.0,0.0,0.0,100.0
Sugar Frosted Flakes,30.0,0.6,44.0,12.0
Sugar Pops,29.0,0.6,43.0,11.0
Sugar Smacks,34.0,0.7,35.0,9.0
Sugar Sparkled Flakes,35.0,0.7,64.0,13.0
Sugar Wafer (Nabisco ®),30.0,0.7,80.0,17.0
Sun-dried tomatoes,0.0,0.0,0.0,100.0
Super Sugar Crisp,28.0,0.5,31.0,8.0
Swede,60.0,1.1,37.0,100.0
Sweet Corn,0.0,0.0,0.0,405.0
Sweet Onion,42.0,1.1,40.0,100.0
Sweet Potatoes,30.0,0.5,29.0,45.0
Sweet pickles,12.0,0.4,114.0,83.0
Sweet potato,0.0,0.0,0.0,350.0
Sweet potato leaves,0.0,0.0,0.0,350.0
Sweet potatoes,0.0,0.0,0.0,350.0
Syrup (table),0.0,0.0,50.0,20.0
Tahini,0.0,0.0,0.0,100.0
Tamarind,150.0,2.8,239.0,100.0
Tamarind Chutney,0.0,0.0,0.0,100.0
Tamarind Paste,74.0,2.8,239.0,100.0
Tamarind chutney,53.0,1.3,230.0,100.0
Tamarind paste,54.0,2.8,239.0,100.0
Tamarind pulp,0.0,0.0,0.0,300.0
Tandoori Masala,0.0,0.0,0.0,100.0
Tandoori masala,45.0,4.5,300.0,100.0
Tangerines canned, light syrup,13.0,0.4,51.0,84.0
Tangerines juice canned, sweetened,15.0,1.2,125.0,249.0
Tangerines juice frozen, diluted,12.0,1.0,110.0,241.0
Tangerines whole medium,18.0,0.5,37.0,84.0
Tang®,0.0,0.0,59.0,125.0
Tapioca, dry,1.0,0.1,36.0,10.0
Taro leaves,20.0,0.5,4.0,18.0
Taro root,0.0,0.0,0.0,300.0
Taro, cooked,0.0,0.0,0.0,605.0
Tater Tots ®,33.0,0.8,61.0,37.0
Tatsoi,0.0,0.0,0.0,705.0
Tea, instant, powder,1.0,0.1,3.0,1.0
Team,32.0,0.7,41.0,11.0
Thai chili,0.0,0.0,0.0,100.0
Thousand Island,6.0,0.1,59.0,16.0
Thyme,0.0,0.0,0.0,100.0
Thyme Fresh,0.0,0.0,0.0,100.0
Toasties (Post),29.0,0.6,27.0,7.0
Tomatillos (boiled),0.0,0.0,0.0,100.0
Tomato,0.0,0.0,0.0,100.0
Tomato Bisque,16.0,0.5,25.0,26.0
Tomato Paste,0.0,0.0,0.0,100.0
Tomato Puree,0.0,0.0,0.0,100.0
Tomato Rice,18.0,0.5,30.0,32.0
Tomato broth,0.0,0.0,0.0,100.0
Tomato canned or fresh, cooked,17.0,0.7,15.0,60.0
Tomato catsup,15.0,0.6,33.0,31.0
Tomato paste,0.0,0.0,0.0,100.0
Tomato puree,0.0,0.0,0.0,100.0
Tomato purée,16.0,0.8,19.0,47.0
Tomato sauce,0.0,0.0,0.0,100.0
Tomato sauce canned, w/ onions, green pepper, and celery,17.0,0.8,19.0,61.0
Tomato, fresh juice,15.0,0.7,16.0,92.0
Tomato, whole,14.0,0.5,12.0,66.0
Tomatoes,0.0,0.0,0.0,250.0
Tomatoes, cooked,49.0,1.2,32.0,100.0
Tortilla chips,36.0,0.7,27.0,8.0
Total,30.0,0.6,22.0,6.0
Trix,27.0,0.5,35.0,9.0
Tropical fruit blend,15.0,0.4,50.0,68.0
Turmeric,350.0,8.0,312.0,100.0
Turnips,0.0,0.0,0.0,730.0
Unsalted Butter,0.0,0.0,0.0,100.0
Vanilla extract,0.0,0.0,0.0,100.0
Vegan Aioli,0.0,0.0,0.0,100.0
Vegan Butter,0.0,0.0,0.0,100.0
Vegan Cream (PKU-safe),0.0,0.0,0.0,100.0
Vegan Worcestershire sauce,0.0,0.0,0.0,100.0
Vegan butter,0.0,0.0,76.0,10.0
Vegetable Broth,0.0,0.0,0.0,100.0
Vegetable broth,0.0,0.0,0.0,100.0
Vegetable juice cocktail,12.0,0.6,17.0,91.0
Vegetable oil,0.0,0.0,0.0,239.5
Vegetable, Old Fashioned,13.0,0.3,9.0,15.0
Vegetarian, Vegetable,13.0,0.3,9.0,15.0
Veggie crackers,30.0,0.6,33.0,7.0
Vinegar,0.0,0.0,0.0,100.0
Vinegar/oil dressing,0.0,0.0,0.0,100.0
Wakame,90.0,1.8,45.0,100.0
Water,0.0,0.0,0.0,100.0
Water (soaking),0.0,0.0,0.0,100.0
Water Chestnut,0.0,0.0,0.0,655.0
Water Spinach,50.0,3.0,19.0,100.0
Waterleaf,0.0,0.0,0.0,300.0
Watermelon,0.0,0.0,0.0,250.0
Watermelon, cubed,18.0,0.7,38.0,120.0
Waverly ®,24.0,0.5,35.0,7.0
Wheat,25.0,0.5,20.0,5.0
Wheat Chex,30.0,0.6,21.0,6.0
Wheat Thins ®,31.0,0.7,43.0,9.0
Wheat starch,1.0,0.0,25.0,8.0
Wheatena,29.0,0.6,22.0,30.0
Wheaties,33.0,0.7,25.0,7.0
Whipped cream, pressurized,6.0,0.1,10.0,4.0
White Bread,0.0,0.0,0.0,100.0
White Pepper,0.0,0.0,0.0,100.0
White Rice,0.0,0.0,0.0,100.0
White bread,167.0,7.9,265.0,100.0
White cabbage, cooked,15.0,0.5,10.0,52.0
White cabbage, raw,14.0,0.4,8.0,35.0
White pepper,0.0,0.0,0.0,100.0
Whole Wheat Hot Natural,29.0,0.6,19.0,30.0
Whole apricots,18.0,0.5,17.0,35.0
Wine,0.0,0.0,0.0,100.0
Winter Melon,0.0,0.0,0.0,940.0
Winter melon,0.0,0.0,0.0,100.0
Wood Ear Mushroom,0.0,0.0,0.0,605.0
Wood ear mushrooms,0.0,0.0,0.0,100.0
Yam,0.0,0.0,0.0,300.0
Yams, baked or boiled,29.0,0.6,49.0,42.0
Yeast,0.0,0.0,0.0,100.0
Yogurt,157.0,3.5,59.0,100.0
Yuzu Juice,20.0,0.3,26.0,100.0
Zha Cai,0.0,0.0,0.0,305.0
Zucchini,0.0,0.0,0.0,840.0
almond,0.0,0.0,0.0,100.0
apple,0.0,0.0,0.0,100.0
apple cider vinegar,0.0,0.0,3.0,15.0
apples,0.0,0.0,0.0,100.0
apples Cider Vinegar,0.0,0.0,0.0,100.0
apricot,0.0,0.0,0.0,100.0
artichoke,0.0,0.0,0.0,100.0
artichokes,35.0,1.9,47.0,100.0
arugula,25.0,1.3,13.0,50.0
avocado,0.0,0.0,0.0,100.0
baked onions,25.0,1.0,40.0,100.0
baked, no skin Potatoes,31.0,0.7,33.0,30.0
baked, w/ skin, mashed Potatoes,26.0,0.4,26.0,25.0
baking mix,0.0,1.0,45.0,13.0
baking powder,0.0,0.0,0.0,1.0
balsamic vinegar,0.0,0.0,0.0,100.0
barberries,130.0,3.6,325.0,100.0
basil,9.0,0.3,2.0,10.0
beans (low protein option),35.0,1.3,75.0,100.0
beet,0.0,0.0,0.0,100.0
beet root,0.0,1.0,35.0,10.0
boiled chicory,40.0,1.7,23.0,100.0
boiled, no skin, mashed Potatoes,30.0,0.5,32.0,31.0
breadcrumbs,40.0,1.3,35.0,10.0
broccoli,57.0,2.8,34.0,100.0
brown,,32.0,0.6,27.0,25.0
bulgur,150.0,3.1,83.0,100.0
burdock root,0.0,0.0,0.0,100.0
butter, stick,0.0,0.0,0.0,100.0
cabbage,38.0,1.3,25.0,100.0
cakes,34.0,0.8,35.0,9.0
canned Potatoes,28.0,0.3,27.0,45.0
canned greens,17.0,0.4,4.0,25.0
canned, packed in syrup Potatoes,26.0,0.4,67.0,49.0
canned, sweetened, sliced Apple,5.0,0.2,68.0,102.0
cannellini beans (small amount),250.0,8.0,110.0,100.0
capers,5.0,0.2,6.0,10.0
carrot,0.0,0.0,0.0,100.0
carrots,0.0,0.0,0.0,100.0
carrrot,0.0,0.0,0.0,100.0
cauliflower,32.0,1.9,25.0,100.0
cauliflower rice,0.0,0.0,0.0,100.0
celery,0.0,0.0,0.0,100.0
celery root,0.0,0.0,0.0,870.0
celery, raw,0.0,0.0,0.0,750.0
celery, raw Root,0.0,0.0,0.0,100.0
celery, raw, raw,0.0,0.0,0.0,100.0
chard,0.0,0.0,0.0,100.0
cherry tomato,40.0,1.3,27.0,149.0
cherry tomatoes,36.0,0.9,18.0,100.0
chicory,40.0,1.7,23.0,100.0
chili flakes,0.0,0.0,0.0,100.0
chili sauce,15.0,0.3,25.0,15.0
chinese eggplant,0.0,0.0,0.0,100.0
chives,0.0,0.0,0.0,100.0
chocolate,7.0,0.2,17.0,8.0
choy sum,0.0,0.0,0.0,495.8
cilantro,0.0,0.09,0.92,4.0
cinnamon,0.0,0.0,0.0,100.0
clove,0.0,0.0,0.0,100.0
cloves,0.0,0.0,0.0,100.0
coconut,0.0,0.0,0.0,100.0
coconut cream,0.0,1.2,357.0,100.0
cooked turnips,16.0,0.9,21.0,78.0
cornmeal,231.0,4.4,182.0,257.0
cornstarch,0.0,0.0,0.0,100.0
cream style,26.0,0.6,23.0,32.0
cucumber,0.0,0.0,0.0,720.0
daikon,0.0,0.0,0.0,100.0
date,0.0,0.0,0.0,100.0
date paste,0.0,0.0,0.0,100.0
dill,0.0,0.0,0.0,100.0
dill Pickles,0.0,0.0,0.0,100.0
dried Apple,6.0,0.2,52.0,21.0
dried barberries,130.0,3.6,325.0,100.0
dried shiitake mushrooms,0.0,0.0,0.0,100.0
dried thyme,0.0,0.25,7.0,3.0
dried, cooked Apple,4.0,0.1,36.0,64.0
dry mustard,0.0,0.0,0.0,1.0
egg replacer,0.0,0.0,15.0,6.0
eggplant,35.0,1.0,24.0,100.0
eggplant, cooked,0.0,0.0,0.0,100.0
f,47.0,1.8,80.0,100.0
fava beans,300.0,8.0,110.0,100.0
fennel,35.0,1.2,31.0,100.0
fenugreek,1600.0,23.0,323.0,100.0
fig,0.0,0.0,0.0,100.0
fig bar,33.0,0.6,57.0,16.0
flour,100.0,3.0,110.0,30.0
fresh dill,0.0,0.0,0.0,100.0
fresh dill pickles,0.0,0.0,0.0,100.0
fresh or frozen, cooked greens,12.0,0.2,4.0,18.0
fresh thyme,0.0,0.0,0.0,100.0
fried,30.0,0.7,30.0,23.0
garlic,0.0,0.0,0.0,100.0
garlic powder,16.0,0.51,10.0,3.0
ginger,0.0,0.0,0.0,100.0
graham cracker (2 x 2),28.0,0.6,27.0,7.0
grape molasses,40.0,0.4,250.0,100.0
grapes,0.0,0.0,0.0,100.0
green beans,0.0,0.0,0.0,100.0
green bell peppers,137.0,1.3,30.0,149.0
hash browns, frozen/cooked,26.0,0.6,43.0,20.0
honey,0.0,0.0,0.0,100.0
jalapeno,0.0,0.13,4.0,14.0
juice, frozen, diluted Apple,4.0,0.2,56.0,120.0
kabocha,0.0,0.0,0.0,100.0
kosher salt,0.0,0.0,0.0,100.0
lavash,570.0,9.0,275.0,100.0
lemon,0.0,0.0,0.0,100.0
lemon juice,0.0,0.0,0.0,100.0
lemon zest,0.0,0.0,0.0,100.0
lentils,190.0,7.6,116.0,100.0
lettuce,0.0,0.0,0.0,100.0
long-grain,36.0,0.7,33.0,26.0
long-grain, instant,34.0,0.6,30.0,31.0
low-protein pasta,0.0,0.0,0.0,100.0
low-protein rice,5.0,0.1,180.0,50.0
maple syrup,0.0,0.0,0.0,100.0
medium- and short-grain,32.0,0.6,33.0,26.0
melon,125.0,0.8,34.0,100.0
microwaved, w/ skin Potatoes,27.0,0.6,29.0,29.0
millet flour,300.0,11.0,378.0,100.0
mint,2.0,0.03,0.44,1.0
mirin,0.0,0.0,200.0,100.0
miso substitute,0.0,0.0,0.0,100.0
mushroom,0.0,0.0,0.0,100.0
mushrooms,35.0,1.8,22.0,100.0
mustard,0.0,0.0,0.0,100.0
no skin Potatoes,30.0,0.7,34.0,39.0
oat,0.0,0.0,0.0,100.0
oats,0.0,0.0,0.0,100.0
oil,0.0,0.0,0.0,100.0
oil salt,0.0,0.0,0.0,100.0
olive oil,0.0,0.0,0.0,100.0
olives,0.0,0.0,0.0,100.0
onion,0.0,0.0,0.0,100.0
onion powder,0.0,0.0,0.0,100.0
onions,25.0,1.0,40.0,100.0
onions, raw,0.0,0.0,0.0,100.0
onions, raws,0.0,0.0,0.0,100.0
onions, raws, raw,0.0,0.0,0.0,100.0
orange,0.0,0.0,0.0,100.0
orange fruit Bar,5.0,0.1,35.0,37.0
orange zest,550.0,10.5,270.0,100.0
oranges,26.0,0.9,47.0,100.0
oregano,0.0,0.0,0.0,100.0
pan fried Potatoes,30.0,0.7,61.0,29.0
paprika,41.0,0.96,19.0,7.0
parsley,87.0,1.8,22.0,60.0
pasta,210.0,7.3,131.0,100.0
peach,4.0,0.1,30.0,30.0
pear,0.0,0.0,0.0,100.0
pearl onions,30.0,1.2,34.0,100.0
peas,0.0,0.0,0.0,100.0
pepper,0.0,0.0,0.0,100.0
peppers,0.0,0.0,0.0,100.0
pilaf,30.0,0.6,23.0,15.0
pineapple,7.0,0.2,58.0,59.0
pineapple Fruit Bar,4.0,0.1,35.0,37.0
polenta,25.0,2.0,70.0,100.0
polenta(low-protein),0.0,0.0,0.0,100.0
pomegranate,0.0,0.0,0.0,100.0
pomegranate arils,40.0,1.7,83.0,100.0
pomegranate molasses,35.0,0.3,250.0,100.0
potato,0.0,0.0,0.0,100.0
preserved vegetables,0.0,0.0,0.0,100.0
puffed,30.0,0.6,14.0,4.0
pumpkin,0.0,0.0,0.0,100.0
radicchio,25.0,1.4,23.0,100.0
radish,0.0,0.0,0.0,100.0
rasam powder,300.0,12.0,320.0,100.0
raspberries raw,0.0,0.0,0.0,100.0
raw turnip,0.0,0.0,0.0,100.0
raw turnips,0.0,0.0,0.0,800.0
red Bell pepper,0.0,0.0,0.0,100.0
red beets,0.0,0.0,0.0,100.0
red bell peppers,60.0,1.2,31.0,119.0
red grapes,0.0,0.0,0.0,100.0
rice,0.0,0.0,0.0,100.0
rice flour,350.0,6.0,366.0,100.0
rice milk,0.0,0.0,0.0,100.0
rice vinegar,0.0,0.0,0.0,100.0
rice yogurt,0.0,0.0,0.0,100.0
rosemary,0.0,0.0,0.0,100.0
rosewater,0.0,0.0,0.0,100.0
saffron water,0.4,0.0,0.0,0.03
sage,13.0,0.3,7.0,5.0
salt,0.0,0.0,0.0,100.0
salt and pepper,0.0,0.0,0.0,100.0
saltine,27.0,0.5,26.0,6.0
sauce, sweetened, canned Apple,6.0,0.2,97.0,128.0
scallion greens,0.0,0.0,0.0,100.0
scallions,0.0,0.0,0.0,100.0
seaweed paper,71.0,1.5,9.0,26.0
sesame oil,0.0,0.0,0.0,100.0
shredded,28.0,0.6,19.0,5.0
soda,35.0,0.7,30.0,7.0
sour cherries,35.0,1.0,50.0,100.0
soy sauce,0.0,0.0,0.0,100.0
spaghetti (low-protein if possible),5.0,0.1,170.0,50.0
spinach,60.0,3.0,28.0,100.0
squash,0.0,0.0,0.0,100.0
steamed carrots,35.0,0.8,35.0,100.0
steamed cauliflower,30.0,1.7,23.0,100.0
strawberry,7.0,0.2,58.0,59.0
strawberry Fruit Bar,6.0,0.2,60.0,74.0
sugar,0.0,0.0,0.0,100.0
sugar (table),0.0,0.0,0.0,100.0
sumac,520.0,9.6,350.0,100.0
sun-dried tomatoes,130.0,5.0,140.0,50.0
sweet peas,0.0,0.0,0.0,100.0
swiss chard,40.0,0.65,7.0,36.0
tahini,0.0,0.0,0.0,100.0
tarragon,960.0,22.8,295.0,100.0
thyme,0.0,0.0,0.0,100.0
tomato,0.0,0.0,0.0,100.0
tomato broth,20.0,0.5,15.0,100.0
tomato sauce,55.0,1.4,40.0,100.0
tomatoes,36.0,0.9,18.0,100.0
tumeric,16.0,0.29,9.0,3.0
turnip,0.0,0.0,0.0,100.0
umeboshi,29.0,1.0,36.0,100.0
vanilla,5.0,0.1,17.0,8.0
vanilla wafer,32.0,0.6,55.0,12.0
vegan butter,0.0,0.0,0.0,100.0
vegetable broth,0.0,0.53,11.0,221.0
vegetable oil,0.0,0.0,0.0,100.0
vinegar,0.0,0.0,0.0,100.0
walnut,0.0,0.0,0.0,100.0
water,0.0,0.0,0.0,100.0
waterleaf,70.0,2.0,35.0,100.0
watermelon,0.0,0.0,0.0,100.0
white rice,125.0,2.7,130.0,100.0
whole kernel,32.0,0.7,22.0,20.0
whole, small Apple,5.0,0.2,59.0,100.0
wine,0.0,0.0,0.0,100.0
wood ear mushrooms,0.0,0.0,0.0,410.5
zucchini,0.0,0.0,0.0,100.0