ingredient_name,phe_mg_per_100g,protein_g_per_100g,energy_kcal_per_100g,usda_name,source,phe_estimated,usda_match,usda_data_type,match_type
allspice,304.5,6.09,262.667594,"spices, allspice, ground",USDA,True,"Spices, allspice, ground",SR Legacy,
allspice berries,304.5,6.09,262.667594,"spices, allspice, ground",USDA,True,"Spices, allspice, ground",SR Legacy,
almond,1035.0,20.7,641.0,almond butter,USDA,True,Almond butter,Survey (FNDDS),
apple,67.0,1.34,134.0,"apple, candied",USDA,True,"Apple, candied",Survey (FNDDS),
apple cider vinegar,0.0,0.0,20.0,apple cider vinegar,Nutritional_Data.csv,False,,,exact
apples,0.0,0.0,47.794117647058826,apples,Nutritional_Data.csv,False,,,exact
apples cider vinegar,0.0,0.0,21.51054,"vinegar, cider",USDA,False,"Vinegar, cider",SR Legacy,
apricot,0.052,1.4,48.040206,"apricots, raw",USDA,False,"Apricots, raw",SR Legacy,
artichoke,100.0,2.0,72.657824,"jerusalem-artichokes, raw",USDA,True,"Jerusalem-artichokes, raw",SR Legacy,
artichoke hearts,0.0,0.0,47.0,artichoke hearts,Nutritional_Data.csv,False,,,exact
artichokes,100.0,2.0,72.657824,"jerusalem-artichokes, raw",USDA,True,"Jerusalem-artichokes, raw",SR Legacy,
arugula,129.0,2.58,25.09563,"arugula, raw",USDA,True,"Arugula, raw",SR Legacy,
asparagus raw,0.075,2.2,20.31551,"asparagus, raw",USDA,False,"Asparagus, raw",SR Legacy,
avocado,0.0,0.0,884.0831939999999,"oil, avocado",USDA,False,"Oil, avocado",SR Legacy,
avocado oil,0.0,0.0,900.0,avocado oil,Nutritional_Data.csv,False,,,exact
"avocados, all varieties, mashed",0.097,2.0,160.13402,"avocados, raw, all commercial varieties",USDA,False,"Avocados, raw, all commercial varieties",SR Legacy,
baby bok choy,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
baked onions,0.025,1.1,39.674996,"onions, raw",USDA,False,"Onions, raw",SR Legacy,
baker's yeast,0.407,8.4,104.92363399999999,"leavening agents, yeast, baker's, compressed",USDA,False,"Leavening agents, yeast, baker's, compressed",SR Legacy,
balsamic vinegar,0.0,0.0,87.5,balsamic vinegar,Nutritional_Data.csv,False,,,exact
bamboo shoots,0.09,2.6,27.485689999999998,"bamboo shoots, raw",USDA,False,"Bamboo shoots, raw",SR Legacy,
baobab fruit powder,184.5,3.69,249.76127,baobab powder,USDA,True,Baobab powder,SR Legacy,
baobab leaves,184.5,3.69,249.76127,baobab powder,USDA,True,Baobab powder,SR Legacy,
basil,0.13,3.15,22.466563999999998,"basil, fresh",USDA,False,"Basil, fresh",SR Legacy,
basmati rice (cooked),0.095,1.79,108.508724,"rice noodles, cooked",USDA,False,"Rice noodles, cooked",SR Legacy,
bay leaf,380.5,7.61,313.575872,"spices, bay leaf",USDA,True,"Spices, bay leaf",SR Legacy,
bean sprouts,0.0,0.0,31.0,bean sprouts,Nutritional_Data.csv,False,,,exact
beans (low protein option),0.356,6.03,90.82227999999999,"beans, black, mature seeds, canned, low sodium",USDA,False,"Beans, black, mature seeds, canned, low sodium",SR Legacy,
beet,84.375,1.6875,0.0,"beets, raw",USDA,True,"Beets, raw",Foundation,
beet root,84.375,1.6875,0.0,"beets, raw",USDA,True,"Beets, raw",Foundation,
bell pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
bell peppers,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
black pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
black pepper (ground),0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
boiled chicory,0.041,1.7,22.944575999999998,"chicory greens, raw",USDA,False,"Chicory greens, raw",SR Legacy,
boiled potato,0.083,1.87,86.998184,"potatoes, boiled, cooked in skin, flesh, with salt",USDA,False,"Potatoes, boiled, cooked in skin, flesh, with salt",SR Legacy,
boiled potatoes,128.5,2.57,58.078458,"potatoes, raw, skin",USDA,True,"Potatoes, raw, skin",SR Legacy,
bok choy,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
bread cubes,835.0,16.7,437.858992,"soup, bouillon cubes and granules, low sodium, dry",USDA,True,"Soup, bouillon cubes and granules, low sodium, dry",SR Legacy,
breadcrumbs,0.0,0.0,350.0,breadcrumbs,Nutritional_Data.csv,False,,,exact
broccoli,0.117,2.82,33.699846,"broccoli, raw",USDA,False,"Broccoli, raw",SR Legacy,
buckwheat,0.52,13.25,342.97361,buckwheat,USDA,False,Buckwheat,SR Legacy,
burdock root,0.033,1.53,72.179812,"burdock root, raw",USDA,False,"Burdock root, raw",SR Legacy,
"butter, stick",0.025,0.0,0.0,"butter, stick, salted",USDA,False,"Butter, stick, salted",Foundation,
cabbage,55.00000000000001,1.1,15.53539,"cabbage, kimchi",USDA,True,"Cabbage, kimchi",SR Legacy,
cabbage core shreds,55.00000000000001,1.1,15.53539,"cabbage, kimchi",USDA,True,"Cabbage, kimchi",SR Legacy,
canned greens,0.022,0.72,21.032528,"peppers, chili, green, canned",USDA,False,"Peppers, chili, green, canned",SR Legacy,
cannellini beans (small amount),1078.125,21.5625,0.0,"beans, cannellini, dry",USDA,True,"Beans, cannellini, dry",Foundation,
canola oil,0.0,0.0,900.0,canola oil,USDA,False,Canola oil,Survey (FNDDS),
capers,0.0,0.0,60.0,capers,Nutritional_Data.csv,False,,,exact
capsicum,600.5,12.01,318.116986,"spices, pepper, red or cayenne",USDA,True,"Spices, pepper, red or cayenne",SR Legacy,
caraway seeds,0.867,19.77,332.935358,"spices, caraway seed",USDA,False,"Spices, caraway seed",SR Legacy,
carrot,0.251,8.1,341.061562,"carrot, dehydrated",USDA,False,"Carrot, dehydrated",SR Legacy,
carrots,0.061,0.93,41.348038,"carrots, raw",USDA,False,"Carrots, raw",SR Legacy,
"carrots, cooked",0.061,0.93,41.348038,"carrots, raw",USDA,False,"Carrots, raw",SR Legacy,
cassava,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cassava leaves,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cassava root,0.026,1.36,159.417002,"cassava, raw",USDA,False,"Cassava, raw",SR Legacy,
cauliflower,0.0,0.0,25.0,cauliflower,Nutritional_Data.csv,False,,,exact
cauliflower rice,82.03125,1.640625,0.0,"cauliflower, raw",USDA,True,"Cauliflower, raw",Foundation,
"cauliflower, cooked",0.108,3.04,32.504816,"cauliflower, green, cooked, with salt",USDA,False,"Cauliflower, green, cooked, with salt",SR Legacy,
"cauliflower, raw",82.03125,1.640625,0.0,"cauliflower, raw",USDA,True,"Cauliflower, raw",Foundation,
cayenne,600.5,12.01,318.116986,"spices, pepper, red or cayenne",USDA,True,"Spices, pepper, red or cayenne",SR Legacy,
celery,24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
celery root,24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw root",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
"celery, raw, raw",24.609375,0.4921875,0.0,"celery, raw",USDA,True,"Celery, raw",Foundation,
chaat masala,165.0,3.3,56.883428,"smart soup, indian bean masala",USDA,True,"SMART SOUP, Indian Bean Masala",SR Legacy,
chard,0.11,1.8,18.881474,"chard, swiss, raw",USDA,False,"Chard, swiss, raw",SR Legacy,
"chayote, cooked",0.036,0.62,21.51054,"chayote, fruit, cooked, boiled, drained, with salt",USDA,False,"Chayote, fruit, cooked, boiled, drained, with salt",SR Legacy,
cherry jam,0.021,0.37,277.963978,jams and preserves,USDA,False,Jams and preserves,SR Legacy,
cherry tomato,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
cherry tomatoes,0.027,0.88,17.686443999999998,"tomatoes, red, ripe, raw, year round average",USDA,False,"Tomatoes, red, ripe, raw, year round average",SR Legacy,
chicory,0.041,1.7,22.944575999999998,"chicory greens, raw",USDA,False,"Chicory greens, raw",SR Legacy,
chili,0.0,0.0,166.66666666666669,chili sauce,Nutritional_Data.csv,False,,,startswith
chili flakes,0.229,8.95,348.94876,"onions, dehydrated flakes",USDA,False,"Onions, dehydrated flakes",SR Legacy,
chili oil,0.474,12.56,156.787936,"applebee's, chili",USDA,False,"APPLEBEE'S, chili",SR Legacy,
chili sauce,0.0,0.0,166.66666666666669,chili sauce,Nutritional_Data.csv,False,,,exact
chinese black vinegar,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese broccoli,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
"chinese cabbage (pak-choi), raw",0.0,0.0,14.285714285714285,"chinese cabbage (pak-choi), raw",Nutritional_Data.csv,False,,,exact
chinese celery,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese eggplant,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chinese leek,56.99999999999999,1.14,22.466563999999998,"broccoli, chinese, cooked",USDA,True,"Broccoli, chinese, cooked",SR Legacy,
chives,0.105,3.27,30.114756,"chives, raw",USDA,False,"Chives, raw",SR Legacy,
choy sum,51.1875,1.02375,0.0,"cabbage, bok choy, raw",USDA,True,"Cabbage, bok choy, raw",Foundation,
chutney,16.5,0.33,246.0,chutney,USDA,True,Chutney,Survey (FNDDS),
cilantro,106.5,2.13,22.705569999999998,"coriander (cilantro) leaves, raw",USDA,True,"Coriander (cilantro) leaves, raw",SR Legacy,
cinnamon,352.5,7.05,253.34636,"bread, cinnamon",USDA,True,"Bread, cinnamon",SR Legacy,
cinnamon powder,184.5,3.69,249.76127,baobab powder,USDA,True,Baobab powder,SR Legacy,
clove,0.23,5.97,273.66187,"spices, cloves, ground",USDA,False,"Spices, cloves, ground",SR Legacy,
cloves,0.23,5.97,273.66187,"spices, cloves, ground",USDA,False,"Spices, cloves, ground",SR Legacy,
coconut,806.9250000000001,16.1385,0.0,"flour, coconut",USDA,True,"Flour, coconut",Foundation,
coconut cream,0.06,1.17,357.074964,"nuts, coconut cream, canned, sweetened",USDA,False,"Nuts, coconut cream, canned, sweetened",SR Legacy,
coconut milk,0.0,0.0,18.75,coconut milk,Nutritional_Data.csv,False,,,exact
coconut oil,0.0,0.0,895.0,coconut oil,USDA,False,Coconut oil,Survey (FNDDS),
cooked rice,0.095,1.79,108.508724,"rice noodles, cooked",USDA,False,"Rice noodles, cooked",SR Legacy,
coriander,106.5,2.13,22.705569999999998,"coriander (cilantro) leaves, raw",USDA,True,"Coriander (cilantro) leaves, raw",SR Legacy,
corn,42.0,0.84,44.0,corn beverage,USDA,True,Corn beverage,Survey (FNDDS),
corn kernels,0.168,3.62,113.049838,"corn, yellow, whole kernel, frozen, microwaved",USDA,False,"Corn, yellow, whole kernel, frozen, microwaved",SR Legacy,
"corn tortilla (6"" diameter)",0.0,0.0,337.5,"corn tortilla (6"" diameter)",Nutritional_Data.csv,False,,,exact
cornmeal,520.0,10.4,398.183996,"cornmeal, blue (navajo)",USDA,True,"Cornmeal, blue (Navajo)",SR Legacy,
cornstarch,0.013,0.26,380.975564,cornstarch,USDA,False,Cornstarch,SR Legacy,
cream of rice,0.267,6.3,369.981288,"cereals, cream of rice, dry",USDA,False,"Cereals, CREAM OF RICE, dry",SR Legacy,
cream of wheat regular,0.396,7.3,454.828418,"crackers, wheat, regular",USDA,False,"Crackers, wheat, regular",SR Legacy,
cucumber,0.031,0.59,10.516264,"cucumber, peeled, raw",USDA,False,"Cucumber, peeled, raw",SR Legacy,
"cucumber, sliced",0.031,0.59,10.516264,"cucumber, peeled, raw",USDA,False,"Cucumber, peeled, raw",SR Legacy,
cucumbers,0.031,0.59,10.516264,"cucumber, peeled, raw",USDA,False,"Cucumber, peeled, raw",SR Legacy,
cumin,890.4999999999999,17.81,374.522402,"spices, cumin seed",USDA,True,"Spices, cumin seed",SR Legacy,
cumin powder,890.4999999999999,17.81,374.522402,"spices, cumin seed",USDA,True,"Spices, cumin seed",SR Legacy,
cumin seeds,890.4999999999999,17.81,374.522402,"spices, cumin seed",USDA,True,"Spices, cumin seed",SR Legacy,
curry leaves,0.487,9.4,64.053608,"drumstick leaves, raw",USDA,False,"Drumstick leaves, raw",SR Legacy,
curry masala,69.5,1.39,95.0,curry sauce,USDA,True,Curry sauce,Survey (FNDDS),
curry powder,0.0,0.0,360.0,curry powder,Nutritional_Data.csv,False,,,exact
daikon,34.0,0.68,16.0,radish,USDA,True,Radish,Survey (FNDDS),
dark soy sauce,0.534,10.51,59.990505999999996,soy sauce made from soy (tamari),USDA,False,Soy sauce made from soy (tamari),SR Legacy,
date,0.048,1.81,277.24696,"dates, medjool",USDA,False,"Dates, medjool",SR Legacy,
date paste,0.048,1.81,277.24696,"dates, medjool",USDA,False,"Dates, medjool",SR Legacy,
dijon mustard,0.0,0.0,66.0,dijon mustard,Nutritional_Data.csv,False,,,exact
dill,0.017,0.5,12.428312,"pickles, cucumber, dill or kosher dill",USDA,False,"Pickles, cucumber, dill or kosher dill",SR Legacy,
dill pickles,0.017,0.5,12.428312,"pickles, cucumber, dill or kosher dill",USDA,False,"Pickles, cucumber, dill or kosher dill",SR Legacy,
dosa batter,0.604,14.2,278.920002,"turkey sticks, breaded, battered, fried",USDA,False,"Turkey sticks, breaded, battered, fried",SR Legacy,
dried chili peppers,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
dried oregano,0.449,9.0,264.579642,"spices, oregano, dried",USDA,False,"Spices, oregano, dried",SR Legacy,
dried red chili peppers,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
dried shiitake mushrooms,0.486,9.58,295.889428,"mushrooms, shiitake, dried",USDA,False,"Mushrooms, shiitake, dried",SR Legacy,
eggplant,0.0,0.0,24.0,eggplant,Nutritional_Data.csv,False,,,exact
"eggplant, cooked",0.0,0.0,27.083333333333332,"eggplant, cooked",Nutritional_Data.csv,False,,,exact
enoki mushroom,0.819,2.416875,0.0,"mushroom, enoki",USDA,False,"Mushroom, enoki",Foundation,
fava beans,396.0,7.92,87.954208,"beans, fava, in pod, raw",USDA,True,"Beans, fava, in pod, raw",SR Legacy,
fennel,46.09375,0.921875,0.0,"fennel, bulb, raw",USDA,True,"Fennel, bulb, raw",Foundation,
fig,0.018,0.75,74.09186,"figs, raw",USDA,False,"Figs, raw",SR Legacy,
flattened pku rice (poha),95.0,1.9,53.059332,"groundcherries, (cape-gooseberries or poha), raw",USDA,True,"Groundcherries, (cape-gooseberries or poha), raw",SR Legacy,
floral honey,0.011,0.3,304.015632,honey,USDA,False,Honey,SR Legacy,
flour,0.012,0.3,357.074964,arrowroot flour,USDA,False,Arrowroot flour,SR Legacy,
"flour, cake",0.012,0.3,357.074964,arrowroot flour,USDA,False,Arrowroot flour,SR Legacy,
fresh chives,0.105,3.27,30.114756,"chives, raw",USDA,False,"Chives, raw",SR Legacy,
fresh cream,0.13,3.15,22.466563999999998,"basil, fresh",USDA,False,"Basil, fresh",SR Legacy,
fresh dill,0.065,3.46,43.02108,"dill weed, fresh",USDA,False,"Dill weed, fresh",SR Legacy,
fresh dill pickles,0.017,0.5,12.428312,"pickles, cucumber, dill or kosher dill",USDA,False,"Pickles, cucumber, dill or kosher dill",SR Legacy,
fresh fresh dill,0.065,3.46,43.02108,"dill weed, fresh",USDA,False,"Dill weed, fresh",SR Legacy,
fresh grated coconut,0.184,3.63,330.06728599999997,"nuts, coconut cream, raw (liquid expressed from grated meat)",USDA,False,"Nuts, coconut cream, raw (liquid expressed from grated meat)",SR Legacy,
fresh rosemary,0.169,3.31,130.975288,"rosemary, fresh",USDA,False,"Rosemary, fresh",SR Legacy,
fresh thyme,278.0,5.56,101.099538,"thyme, fresh",USDA,True,"Thyme, fresh",SR Legacy,
fuzzy melon,89.0,1.78,43.738098,horned melon (kiwano),USDA,True,Horned melon (Kiwano),SR Legacy,
garlic,331.0,6.62,142.686582,"garlic, raw",USDA,True,"Garlic, raw",Foundation,
garlic chives,331.0,6.62,142.686582,"garlic, raw",USDA,True,"Garlic, raw",Foundation,
garlic powder,331.0,6.62,142.686582,"garlic, raw",USDA,True,"Garlic, raw",Foundation,
garlic sprouts,331.0,6.62,142.686582,"garlic, raw",USDA,True,"Garlic, raw",Foundation,
ghee,0.0,0.0,900.096596,"butter, clarified butter (ghee)",USDA,False,"Butter, Clarified butter (ghee)",SR Legacy,
ginger,0.045,1.82,79.588998,"ginger root, raw",USDA,False,"Ginger root, raw",SR Legacy,
"ginger, raw",0.045,1.82,79.588998,"ginger root, raw",USDA,False,"Ginger root, raw",SR Legacy,
granny smith golden apples,13.28125,0.265625,0.0,"apples, granny smith, with skin, raw",USDA,True,"Apples, granny smith, with skin, raw",Foundation,
granulated sugar,0.0,0.0,400.0,granulated sugar,Nutritional_Data.csv,False,,,exact
grapes,213.49999999999997,4.27,68.594722,"grape leaves, canned",USDA,True,"Grape leaves, canned",SR Legacy,
grapeseed oil,0.0,0.0,900.0,grapeseed oil,Nutritional_Data.csv,False,,,exact
green apple,67.0,1.34,134.0,"apple, candied",USDA,True,"Apple, candied",Survey (FNDDS),
green bananas,0.201,3.89,346.080688,"bananas, dehydrated, or banana powder",USDA,False,"Bananas, dehydrated, or banana powder",SR Legacy,
green beans,0.0,0.0,39.130434782608695,green beans,Nutritional_Data.csv,False,,,exact
green bell pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
green bell peppers,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
green cabbage,48.0625,0.96125,0.0,"cabbage, green, raw",USDA,True,"Cabbage, green, raw",Foundation,
green chili,0.022,0.72,21.032528,"peppers, chili, green, canned",USDA,False,"Peppers, chili, green, canned",SR Legacy,
green chutney,16.5,0.33,246.0,chutney,USDA,True,Chutney,Survey (FNDDS),
grilled radicchio,0.034,1.43,22.944575999999998,"radicchio, raw",USDA,False,"Radicchio, raw",SR Legacy,
ground white pepper,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
honey,0.011,0.3,304.015632,honey,USDA,False,Honey,SR Legacy,
horseradish,59.0,1.18,48.0,horseradish,USDA,True,Horseradish,Survey (FNDDS),
idli batter,0.604,14.2,278.920002,"turkey sticks, breaded, battered, fried",USDA,False,"Turkey sticks, breaded, battered, fried",SR Legacy,
italian seasoning,0.0,0.0,270.0,italian seasoning,Nutritional_Data.csv,False,,,exact
jaggery,0.0,0.0,383.0,jaggery,Nutritional_Data.csv,False,,,exact
jalapeno,45.5,0.91,28.441714,"peppers, jalapeno, raw",USDA,True,"Peppers, jalapeno, raw",SR Legacy,
japanese/lebanese cucumbers,0.031,0.59,10.516264,"cucumber, peeled, raw",USDA,False,"Cucumber, peeled, raw",SR Legacy,
"jicama slices, raw",0.017,0.72,38.001954,"yambean (jicama), raw",USDA,False,"Yambean (jicama), raw",SR Legacy,
kabocha,0.0,0.0,38.0,kabocha,Nutritional_Data.csv,False,,,exact
kabocha squash,40.5,0.81,24.139606,"babyfood, vegetables, squash, junior",USDA,True,"Babyfood, vegetables, squash, junior",SR Legacy,
"kabocha squash (roasted, chopped)",1.711,29.84,573.853406,"seeds, pumpkin and squash seed kernels, roasted, with salt added",USDA,False,"Seeds, pumpkin and squash seed kernels, roasted, with salt added",SR Legacy,
kailan,0.0,0.0,22.0,kailan,Nutritional_Data.csv,False,,,exact
"kohlrabi, sliced, raw",0.039,1.7,27.007678,"kohlrabi, raw",USDA,False,"Kohlrabi, raw",SR Legacy,
komatsuna,0.0,0.0,14.000000000000002,komatsuna,Nutritional_Data.csv,False,,,exact
korean red pepper flakes,0.446,10.39,250.9563,"spices, pepper, black",USDA,False,"Spices, pepper, black",SR Legacy,
kosher salt,0.0,0.0,0.0,"salt, table",USDA,False,"Salt, table",SR Legacy,
lard,0.0,0.0,902.008644,lard,USDA,False,Lard,SR Legacy,
leek,0.055,1.5,60.946529999999996,"leeks, (bulb and lower leaf-portion), raw",USDA,False,"Leeks, (bulb and lower leaf-portion), raw",SR Legacy,
lemon,17.5,0.35,21.749546,"lemon juice, raw",USDA,True,"Lemon juice, raw",SR Legacy,
lemon juice,17.5,0.35,21.749546,"lemon juice, raw",USDA,True,"Lemon juice, raw",SR Legacy,
lemon zest,17.5,0.35,21.749546,"lemon juice, raw",USDA,True,"Lemon juice, raw",SR Legacy,
lentils,0.0,0.0,115.99999999999999,lentils,Nutritional_Data.csv,False,,,exact
lettuce,37.125,0.7425,0.0,"lettuce, iceberg, raw",USDA,True,"Lettuce, iceberg, raw",Foundation,
lime juice,35.0,0.7,30.114756,"limes, raw",USDA,True,"Limes, raw",SR Legacy,
lotus root,0.047,2.6,74.330866,"lotus root, raw",USDA,False,"Lotus root, raw",SR Legacy,
low-protein beans,0.356,6.03,90.82227999999999,"beans, black, mature seeds, canned, low sodium",USDA,False,"Beans, black, mature seeds, canned, low sodium",SR Legacy,
low-protein flour,1.752,33.8,427.82074,"peanut flour, low fat",USDA,False,"Peanut flour, low fat",SR Legacy,
low-protein pasta,70.5,1.41,51.147284,"sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",USDA,True,"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",SR Legacy,
low-protein peanut substitute,0.055,1.0,135.755408,"cream substitute, liquid, with hydrogenated vegetable oil and soy protein",USDA,False,"Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",SR Legacy,
low-protein rice,15.0,0.3,231.118802,"mayonnaise, low sodium, low calorie or diet",USDA,True,"Mayonnaise, low sodium, low calorie or diet",SR Legacy,
maize,437.5,8.75,364.245144,"corn flour, whole-grain, blue (harina de maiz morado)",USDA,True,"Corn flour, whole-grain, blue (harina de maiz morado)",SR Legacy,
